wavelength (um),S11,S21,S31,S41
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
[1.55],[0.05331102],[0.10658739],[0.64272164],[0.64101137]
